type,PCR,iLISI,bASW,GC,kBET,integration_method_batch,homology_method_batch,bASW_scaled,GC_scaled,kBET_scaled,PCR_scaled,iLISI_scaled,avg_score_batch,iLISI_scaled_rank,GC_scaled_rank,PCR_scaled_rank,bASW_scaled_rank,kBET_scaled_rank,avg_score_scaled_rank_batch,cASW,cLISI,ARI,NMI,iso_F1,integration_method_bio,homology_method_bio,cASW_scaled,ARI_scaled,NMI_scaled,iso_F1_scaled,cLISI_scaled,avg_score_bio,cLISI_scaled_rank,NMI_scaled_rank,ARI_scaled_rank,cASW_scaled_rank,iso_F1_scaled_rank,avg_score_scaled_rank_bio,integrated_score,integrated_score_rank,task_name,trajectory_conservation_score_batch,traj_scaled,traj_scaled_rank,batch_aggr_with_LISI,bio_aggr_with_LISI,integrated_score_aggr_with_LISI,integrated_score_aggr_rank_with_LISI,batch_aggr_no_LISI,bio_aggr_no_LISI,integrated_score_aggr_no_LISI,integrated_score_aggr_rank_no_LISI
unintegrated HE,0.15786457281956606,0,0.5016825310157431,0.9401664967187292,0.00266319995257235,unintegrated,HE,0.00414321576603942,0.6496606023789508,0,0.00997642155275102,0,0.1659450599244353,19,21,28,29,30,30,0.596002571284771,1,0.5818068860272692,0.7703855890997651,0.6918924831480252,unintegrated,HE,0.5001667941626643,0.39035535835308727,0.5593512303554105,0.8059408601195404,1,0.5639535607476756,1,21,22,20,8,19,0.4047501604183794,24,Heart_hs_mf,NA,NA,NA,0.32047536010132216,0.7280175059119661,0.5650006475877085,24,0.4005942001266527,0.6600218823899576,0.5562508094846357,24
LIGER UINMF HE,0.06145310501613424,0.00406345645889416,0.6614772006024477,0.8833043596512236,0.2537897946744948,LIGER UINMF,HE,0.4193118889114094,0.24032684870908033,0.9944122070184545,0.6287746576323033,0.01728321765491929,0.5707064005678119,13,27,21,24,2,22,0.5390574374546637,1,0.5808369551676282,0.7265779025023241,0.2888123516733958,LIGER UINMF,HE,0.268025492127393,0.38878665862259904,0.43761646170573504,0.00735125736264906,1,0.275444967454594,1,24,23,26,28,25,0.39354954069988113,25,Heart_hs_mf,NA,NA,NA,0.37281758328063896,0.6270569293596024,0.525361190928017,25,0.46500611498607514,0.533821161699503,0.5062951430141318,25
LIGER HE,0.01738010930050222,0.17975783143825796,0.8074037730491788,0.8966725311724641,0.20433981433592052,LIGER,HE,0.7984493258237719,0.33656037264427413,0.7985999548754593,0.9116486002132708,0.7645692176972896,0.711314563389194,3,25,5,9,5,8,0.5317381739930674,0.99952275425699,0.4109814865273586,0.5941809956999001,0.36860255653801305,LIGER,HE,0.23818794086298944,0.11407405902907242,0.06970598591112331,0.16543304565028707,0,0.14685025786336806,4,29,27,28,25,27,0.37263598007369847,26,Heart_hs_mf,NA,NA,NA,0.4211108118592647,0.5810051934030659,0.5170474407855454,27,0.48144905696451645,0.47637580318958483,0.4784051046995575,26
LIGER SH,0.01700147744533955,0.235109951169167,0.864495320939743,0.8499196263137458,0.2552009231919875,LIGER,SH,0.9467810708490956,0,1,0.9140787750611,1,0.7152149614775489,1,30,4,4,1,7,0.5481579567496672,0.9998790587189512,0.39361782478932256,0.6123627871310843,0.31144491342827446,LIGER,SH,0.3051244724308208,0.0859912619740022,0.12023036520215734,0.05219129558303199,0.7465848929610123,0.14088434879750308,2,27,28,25,26,28,0.37061659386952145,27,Heart_hs_mf,NA,NA,NA,0.4443454598119966,0.5730925081634599,0.5215936888228746,26,0.496654336972704,0.46639587052458714,0.4784992571038339,27
LIGER O2O,0.01854765929584304,0.20013203015897707,0.8849788057243702,0.8862913857149172,0.20643514370909477,LIGER,O2O,1,0.26182956833971766,0.8068970494492779,0.9041549078744652,0.8512273902646404,0.7432203814158651,2,26,6,1,4,6,0.5306387719620114,0.9998186426066092,0.340449218314141,0.6135613276838858,0.29894954435312965,LIGER,O2O,0.2337061423003413,0,0.1235609235640562,0.02743524573876246,0.6199915954264327,0.09617557790078998,3,26,30,29,27,29,0.35499349930682006,28,Heart_hs_mf,NA,NA,NA,0.4392770049206405,0.5566835009839555,0.5097209025586295,28,0.4990632486110563,0.44589971557829194,0.4671651287913977,28
LIGER UINMF SH,0.03906381745789583,0.03224581507106316,0.6986514601084086,0.8538831201364255,0.2117252908807633,LIGER UINMF,SH,0.5158957614158497,0.02853202302542283,0.8278449977550179,0.7724759409315359,0.1371520640054132,0.5361871807819566,8,29,13,22,3,23,0.5371730632193715,1,0.4216407110233646,0.6551429438270249,0.4206836212816358,LIGER UINMF,SH,0.26034369283954634,0.13131355855410903,0.23910978757460952,0.26861698739558604,1,0.2248460065909627,1,25,26,27,24,26,0.3493824762673603,29,Heart_hs_mf,NA,NA,NA,0.3671139007309113,0.6069280678702793,0.5110024010145321,29,0.4508309221458734,0.5086600848378492,0.48552841976105887,29
LIGER UINMF O2O,0.04019434085894877,0.00278467144765759,0.6981825950583116,0.8673150327635433,0.17808720203475836,LIGER UINMF,O2O,0.5146775851072376,0.12522440038184465,0.6946447438899159,0.7652198965795869,0.01184412413770591,0.5249416564896463,14,28,14,23,7,24,0.4733097769338498,1,0.3469252530879821,0.604350962865926,0.28510187789060293,LIGER UINMF,O2O,0,0.01047389502393796,0.09796674780680582,0,1,0.02711016070768594,1,28,29,30,29,30,0.2262427590204701,30,Heart_hs_mf,NA,NA,NA,0.3573127684326439,0.5419375741556721,0.46808765186646084,30,0.44594479267889053,0.4274219676945902,0.4348310976883103,30
scANVI HE,0.03792485756124152,0.10299129577237864,0.8588898754749437,0.992384225811618,0.23225509029269087,scANVI,HE,0.9214873658514432,0.993175645812461,0.820812329485566,0.8267858659954261,0.7102898328946583,0.8905653017862241,3,3,13,4,2,2,0.7189103811979294,1,0.97152452400296,0.919161178070122,0.9675074710213084,scANVI,HE,1,1,1,1,1,1,1,1,1,1,1,1,0.9562261207144896,1,Heart_mf_dr,NA,NA,NA,0.4448890689825745,0.915420710858464,0.7272080541081082,1,0.5303635122851236,0.8942758885730799,0.7487109380578973,1
scANVI SH,0.03615811644120602,0.0909019362659933,0.8550584218168641,0.994019090411568,0.22771955348022763,scANVI,SH,0.911693685625836,1,0.8047832963573193,0.8354897048571728,0.6269143487899439,0.887991671710082,4,1,11,6,3,3,0.7134564518928528,1,0.9625221011493924,0.9145740750611372,0.93982928089994755,scANVI,SH,0.9737529548426432,0.9905781971129264,0.9941923199843464,0.9559856213026614,1,0.9786272733106444,1,2,2,2,2,2,0.9423730326704194,2,Heart_mf_dr,NA,NA,NA,0.4407714236831718,0.906076381800666,0.7199543985536683,3,0.5282387955374664,0.8825954772508324,0.7408528045654861,3
scANVI O2O,0.04125078420407817,0.1244191420945686,0.8570923543763442,0.9935299568030448,0.28295760425315963,scANVI,O2O,0.9168926745385672,0.9979582278619932,1,0.8104007095981726,0.858069130837646,0.9313129029996832,2,2,14,5,1,1,0.6987160593271255,1,0.9408134144799022,0.8915494828514505,0.8502683350119342,scANVI,O2O,0.9028147875749296,0.967858206054506,0.965041140300163,0.8135641200584518,1,0.9123195634970124,1,3,5,5,3,3,0.9199168992980808,3,Heart_mf_dr,NA,NA,NA,0.4598499683462391,0.8762694583340824,0.7097016623389452,2,0.5437076749091567,0.845336822917603,0.7246851637142245,2
SeuratV4 CCA SH,0.03644355413122695,0.04764302833009637,0.8896053483497284,0.9909344857551214,0.08270097726508685,SeuratV4 CCA,SH,1,0.9871240500866144,0.29227338662047414,0.8340834978974563,0.32857493807991595,0.7783702336511362,10,5,12,1,12,5,0.7032953202724457,0.9995259245423418,0.9478535688784856,0.8524218285293659,0.8259268813503825,SeuratV4 CCA,SH,0.9248524895868095,0.97522632773874,0.9155020530765536,0.7748558824603433,0.9116014241265332,0.8976091882156116,10,5,3,4,8,4,0.8499136063898214,4,Heart_mf_dr,NA,NA,NA,0.40946547876625206,0.8658047047146044,0.6832690143352634,4,0.4999210913752909,0.8323743997576699,0.6993930764047183,4
SeuratV4 CCA HE,0.03077239799884411,0.03140439036805853,0.8863493838931434,0.992156569599572,0.07076550327634656,SeuratV4 CCA,HE,0.9916773429722968,0.992225348996417,0.2500922477878817,0.8620224124199615,0.2165835376611432,0.7740043380441392,11,4,10,2,15,6,0.7043898850679398,0.9999999999999998,0.9431500696031972,0.8526411056640206,0.8194215451179125,SeuratV4 CCA,HE,0.9301200847476496,0.9703037148186308,0.9157796774138164,0.7645109743852855,0.9999999999999586,0.8951786128413456,2,4,4,3,10,5,0.846708902922463,5,Heart_mf_dr,NA,NA,NA,0.4022896490271929,0.8639205210906141,0.6792681722652456,5,0.4950109636919765,0.8299006513632676,0.6959447762947512,5
SeuratV4 CCA O2O,0.02772600489158336,0.1449989722542644,0.8593599086870899,0.9819632869892488,0.11104767259521164,SeuratV4 CCA,O2O,0.9226888302004816,0.9496759104259966,0.3924533955831005,0.8770304486367223,1,0.7854621462115753,1,10,9,3,8,4,0.6589108854532242,1,0.926471490634835,0.8301653130704497,0.8037897176281359,SeuratV4 CCA,O2O,0.711252312573238,0.9528481602382186,0.8873233268095274,0.7396529481975288,1,0.8227691869546282,1,6,6,8,13,6,0.807846370657407,6,Heart_mf_dr,NA,NA,NA,0.42501916908347964,0.8438674813573289,0.6763281564477892,20,0.49502421829078347,0.8048343516966612,0.68091029833431,20
SeuratV4 RPCA SH,0.04747538607183219,0,0.7218890702130076,0.9908777749437792,0.00992483827034385,SeuratV4 RPCA,SH,0.5712959771192111,0.986887324266706,0.03507535447417835,0.7797352481895593,0,0.5932484760124137,17,6,15,13,23,11,0.6726901084184647,1,0.7926096561756132,0.7594241010706945,0.8499786742830173,SeuratV4 RPCA,SH,0.7775648493098827,0.812750340030069,0.7977586664107132,0.8131034961173489,1,0.8002943379670034,1,9,11,7,4,8,0.7174759931851675,7,Heart_mf_dr,NA,NA,NA,0.3540334138997926,0.814940507989558,0.6305776703536519,21,0.4425417673747407,0.7686756349869475,0.6382220879420648,21
SeuratV4 RPCA HE,0.05694405353537312,2.220446049250313e-16,0.7107743486888255,0.9905115599485252,0.0048417791316766,SeuratV4 RPCA,HE,0.5428853429007946,0.9853586467013118,0.01711132360077767,0.7330879183099737,1.5313529570103629e-15,0.5696108078782144,16,7,17,15,24,13,0.690011516213417,0.9997370692472756,0.7913280109334206,0.7576359936637197,0.8391521010717783,SeuratV4 RPCA,HE,0.860924157278896,0.8114089890360632,0.7954947635436991,0.795886875694391,0.950972564137805,0.8159286963882624,5,10,13,6,6,7,0.7174015409842431,8,Heart_mf_dr,NA,NA,NA,0.3526143482608802,0.8155729382259223,0.6303895022399054,11,0.4407679353261001,0.7695319054705839,0.6380263174127904,11
SeuratV4 RPCA O2O,0.05146971361188617,0,0.7214481384877084,0.967284463835487,0.02060205749306865,SeuratV4 RPCA,O2O,0.5701688998518664,0.8884026476367829,0.0728096972245926,0.7600572190344059,0,0.5728596159369119,17,14,16,14,22,12,0.6263896226882935,0.999681288458385,0.7833719558169723,0.745517196713734,0.7834154127879588,SeuratV4 RPCA,O2O,0.5547436736418767,0.8030822991787696,0.7801512897384805,0.7072533452972477,0.9405713880816088,0.7113076519640936,6,12,16,20,15,16,0.6559284375532209,9,Heart_mf_dr,NA,NA,NA,0.35216087468563007,0.7876750952930687,0.6134694070500932,9,0.4402010933570376,0.7346735470017396,0.6168845655438588,10
Harmony HE,0.09869780749685014,0,0.6063481769590868,0.9487606251056764,0.00156659856996932,Harmony,HE,0.27595883813967237,0.8110792800570168,0.0055365134084458,0.5273883156729937,0,0.4049907368195321,17,16,24,22,27,21,0.6316731870174408,1,0.7876467214293611,0.7394934598423857,0.8108790638804473,Harmony,HE,0.5801708370284366,0.8075562057751928,0.7725247035949466,0.7509265599943123,1,0.7277945765982221,1,13,15,18,12,13,0.5986730406867461,10,Heart_mf_dr,NA,NA,NA,0.3310746416263165,0.793938486433927,0.6087929485108827,12,0.41384330203289565,0.7424231080424086,0.6109911856386034,12
Scanorama SH,0.09421154128093176,4.440892098500626e-16,0.6338318536839326,0.8260670003995096,0.07026368220622958,Scanorama,SH,0.34621059250958275,0.2989238687933083,0.24831876277608464,0.5494898775778115,3.0627059140207258e-15,0.3607357754141968,15,25,22,20,16,25,0.6436901837587357,0.9998359958261598,0.8066520132111415,0.7253326927121095,0.7794427708043269,Scanorama,SH,0.6380026567095218,0.8274468636449563,0.7545959140936548,0.7009359752694446,0.9694189286313322,0.7302453524293944,3,14,8,14,16,12,0.5824415216233154,11,Heart_mf_dr,NA,NA,NA,0.32487481551412084,0.7909907312624946,0.6045443649631451,19,0.4060935193926509,0.7387794151215784,0.6057050568300074,19
fastMNN HE,0.13888232906413822,2.220446049250313e-16,0.5440785533208816,0.958848544594067,0.02707236360967591,fastMNN,HE,0.11678980306718204,0.8531889052860789,0.09567639534244328,0.32941952641934574,1.5313529570103629e-15,0.3487686575287625,16,15,26,27,21,26,0.6495058902835112,0.9999999999999998,0.7452266623689021,0.7177911419115085,0.8129974901258435,fastMNN,HE,0.6659907554249993,0.7631599980623689,0.7450476406439637,0.7542953212680233,0.9999999999999586,0.7321234288498387,2,15,21,11,11,11,0.5787815203214082,12,Heart_mf_dr,NA,NA,NA,0.3337763581177526,0.7851042369379531,0.6045730854098729,7,0.4172204476471907,0.7313802961724414,0.6057163567623411,6
