type,PCR,iLISI,bASW,GC,kBET,integration_method_batch,homology_method_batch,bASW_scaled,GC_scaled,kBET_scaled,PCR_scaled,iLISI_scaled,avg_score_batch,iLISI_scaled_rank,GC_scaled_rank,PCR_scaled_rank,bASW_scaled_rank,kBET_scaled_rank,avg_score_scaled_rank_batch,cASW,cLISI,ARI,NMI,iso_F1,integration_method_bio,homology_method_bio,cASW_scaled,ARI_scaled,NMI_scaled,iso_F1_scaled,cLISI_scaled,avg_score_bio,cLISI_scaled_rank,NMI_scaled_rank,ARI_scaled_rank,cASW_scaled_rank,iso_F1_scaled_rank,avg_score_scaled_rank_bio,integrated_score,integrated_score_rank,task_name,trajectory_conservation_score_batch,traj_scaled,traj_scaled_rank,batch_aggr_with_LISI,bio_aggr_with_LISI,integrated_score_aggr_with_LISI,integrated_score_aggr_rank_with_LISI,batch_aggr_no_LISI,bio_aggr_no_LISI,integrated_score_aggr_no_LISI,integrated_score_aggr_rank_no_LISI
scANVI SH,0.00728507087356216,0.15265149289131497,0.905723712925438,0.9599731217418508,0.4512882864492467,scANVI,SH,0.9763773671900784,0.9232029867159648,0.8069010661913122,0.9524555081754964,0.7781080371521175,0.9147342320682128,6,4,11,4,14,5,0.6615792661905289,1,0.9719817936139484,0.9488773082499258,0.44762215924391424,scANVI,SH,0.8975643005444115,0.9981462713061492,0.9941011962073204,0.9454898262427082,1,0.9588253985751471,1,2,2,3,3,1,0.9411889319723734,1,Pancreas_hs_mm,NA,NA,NA,0.4953843369762826,0.8060121054596635,0.6817609980663111,1,0.5810675479975245,0.7575151318245794,0.6869360982937575,1
SeuratV4 RPCA HE,0.00391992339742561,0.16408256258647014,0.8572452154345569,0.957295400277695,0.4768688904232532,SeuratV4 RPCA,HE,0.8535639451414777,0.914128368231337,0.8827792016845676,0.9780888852493408,0.836375447673802,0.9071401000766808,3,8,9,11,8,8,0.6605275124311447,1,0.9501842530527724,0.9162461662326378,0.4285386567315429,SeuratV4 RPCA,HE,0.8920233741908153,0.9690570753607736,0.9266722599429504,0.8790062138277086,1,0.916689730830562,1,8,4,4,13,4,0.9128698785290096,2,Pancreas_hs_mm,NA,NA,NA,0.4918823984238802,0.7910993176896196,0.6714125499833238,2,0.5738323573832327,0.7388741471120245,0.6728574312205078,2
scANVI O2O,0.00746604009615528,0.1406177283628518,0.9019474395159216,0.9603563515100108,0.47263674915278553,scANVI,O2O,0.9668107121983248,0.9245017267023884,0.8702256674101831,0.9510770092079516,0.7167685198015735,0.928153778879712,7,3,12,6,10,4,0.6512653529644012,1,0.9733708566347864,0.9517319388425896,0.3937874002893509,scANVI,O2O,0.8432277858484081,1,1,0.7579388645432056,1,0.9002916625979035,1,1,1,10,17,7,0.9114365091106268,3,Pancreas_hs_mm,NA,NA,NA,0.49660486172754503,0.7940311097462256,0.6750606105387533,3,0.5856016450687183,0.742538887182782,0.6797639903371565,4
scANVI HE,0.00681717770435846,0.1539172082399074,0.9025826867649168,0.9462153564569104,0.49980708976303245,scANVI,HE,0.9684200213257528,0.8765788427065537,0.9508193386275292,0.9560195962642134,0.7845597479531888,0.9379594497310124,5,14,10,5,2,3,0.6472848057746887,1,0.9683344149113212,0.9436026111704904,0.3923514710595987,scANVI,HE,0.8222571749726023,0.9932787811656932,0.9832015711499236,0.7529363361915927,1,0.8879184658699529,1,3,3,11,18,8,0.9079348594143768,4,Pancreas_hs_mm,NA,NA,NA,0.501867903785825,0.7903146605832198,0.6749359578642619,5,0.5888555776723046,0.7378933257290247,0.6782782265063366,5
SeuratV4 CCA HE,0.00199248826056919,0.15514997651119167,0.8406175937018177,0.9538205886222386,0.45684407771007474,SeuratV4 CCA,HE,0.8114402154216878,0.9023524645381028,0.8233808601199357,0.99277075937188,0.7908435181388848,0.8824860748629015,4,11,6,14,12,11,0.6810231506824493,1,0.9102120693636164,0.8860825407687855,0.4397528316196491,SeuratV4 CCA,HE,1,0.915713502931808,0.8643421956802022,0.9180744538602472,1,0.9245325381180644,1,12,12,1,6,3,0.9077139528159992,5,Pancreas_hs_mm,NA,NA,NA,0.48168494496117836,0.7834141184869001,0.6627224490766114,11,0.563318687073675,0.7292676481086251,0.662888063694645,11
SeuratV4 RPCA SH,0.00372879418309493,0.11407558246486672,0.8571635342006519,0.9178168671759194,0.49046566488224186,SeuratV4 RPCA,SH,0.8533570172791836,0.7803382668234938,0.9231104579644712,0.9795447760403114,0.5814756598674057,0.8840876295268649,9,18,8,12,4,9,0.6603949666023254,1,0.9496948486206086,0.9167934172258309,0.4236479697966032,SeuratV4 RPCA,SH,0.8913250865266058,0.9684039566575972,0.9278030984628244,0.8619679089140877,1,0.9123750126402788,1,7,5,5,16,5,0.9010600593949132,6,Pancreas_hs_mm,NA,NA,NA,0.47665008858135494,0.7901062404490736,0.6647237797019862,6,0.5672937151104771,0.7376328005613421,0.6694971663809961,6
SeuratV4 CCA SH,0.00196524720454249,0.19618290211989176,0.8351778244886561,0.9477183761295218,0.428715823657949,SeuratV4 CCA,SH,0.7976593289090919,0.8816724755904876,0.7399457905522009,0.9929782629853096,1,0.8530639645092725,1,13,5,15,18,12,0.678838238120079,0.9998642900521166,0.9180411383945484,0.8880363238491664,0.4408599014670542,SeuratV4 CCA,SH,0.988489283266998,0.9261615313445312,0.8683794897084534,0.9219312931696716,0.839102470566019,0.9262403993724136,3,10,11,2,5,2,0.8969698254271571,7,Pancreas_hs_mm,NA,NA,NA,0.48195203472011217,0.785127978376593,0.6638576009140007,9,0.5533943178701674,0.731443900457712,0.6602240674226941,9
SeuratV4 RPCA O2O,0.00370219950610175,0.1250041025017843,0.8676411242520411,0.9315746418264884,0.4650290855454424,SeuratV4 RPCA,O2O,0.8799005109028365,0.8269624425723922,0.8476595336874744,0.9797473559831988,0.6371814319751039,0.8835674607864754,8,16,7,9,11,10,0.6514235734939575,1,0.946253627540925,0.9139058855954502,0.4266984320675596,SeuratV4 RPCA,O2O,0.8440613348555556,0.9638115874406512,0.9218363080218668,0.8725951903147307,1,0.9005761051582011,1,9,6,9,15,6,0.8937726474095108,8,Pancreas_hs_mm,NA,NA,NA,0.4785902307263716,0.7876563037395784,0.6640298745342956,10,0.5669867627825185,0.734570379674473,0.6675369329176912,10
SeuratV4 CCA O2O,0.00164666630200863,0.17097733945822813,0.8506517699071956,0.9529023753964646,0.48863303400000935,SeuratV4 CCA,O2O,0.8368603827330388,0.8992407014876971,0.9176744403265584,0.9954049930056388,0.8715200846286801,0.9122951293882332,2,12,4,13,5,6,0.6435487419366837,0.9994380753219576,0.920320888511142,0.887655978314283,0.4380576052002414,SeuratV4 CCA,O2O,0.8025745692352659,0.9292038974161512,0.8675935443432404,0.9121685790791104,0.3337828668042156,0.8778851475184422,12,11,10,12,7,9,0.8916491402663587,9,Pancreas_hs_mm,NA,NA,NA,0.4929622370127813,0.7778042578568616,0.6638674495192294,4,0.5734584614014195,0.7223958034905875,0.6628208666549203,3
fastMNN SH,0.01460484158219272,6.661338147750939e-16,0.8240243141097652,0.9826342409064824,0.2548192863057309,fastMNN,SH,0.7694034866618391,1,0.22412743706737023,0.896698533481531,3.3954733443998328e-15,0.722557364302685,22,1,19,18,26,21,0.6555355903808734,1,0.9398067626534174,0.9200267814498873,0.3863034496145528,fastMNN,SH,0.8657245640400042,0.9552081344309072,0.93448451678609,0.7318660786029048,1,0.8718208234649766,1,5,8,7,19,10,0.81211543980006,10,Pancreas_hs_mm,NA,NA,NA,0.41521653658083435,0.7803345168197462,0.6342873247241815,7,0.5190206707260429,0.7254181460246828,0.6428591559052268,8
Harmony SH,0.01059325189579099,0.00710929154608463,0.8699581059393877,0.9581074754829396,0.3805698968843565,Harmony,SH,0.8857702565545145,0.916880436647364,0.5971335583278486,0.927256062334661,0.03623807920702479,0.831760078466097,17,5,14,7,20,13,0.5952518060803413,1,0.897152480753815,0.8758647402588672,0.4323265833154178,Harmony,SH,0.5481331067763686,0.8982852554205663,0.8432281501166021,0.8922026929696039,1,0.7954623013207851,1,15,14,15,8,14,0.80998141217891,11,Pancreas_hs_mm,NA,NA,NA,0.4452676043497119,0.7601191220816883,0.6341785149888978,8,0.5548071825506187,0.7001489026021104,0.6420122145815137,7
Harmony HE,0.01040081544330079,1.1102230246251563e-15,0.8688678588106798,0.958082780956445,0.37611689450125874,Harmony,HE,0.8830082695358272,0.9167967485529908,0.5839248976363411,0.9287219107660936,5.659122240666387e-15,0.8281129566228133,20,6,13,8,22,14,0.5967444851994514,1,0.897132640130948,0.8760654830530487,0.4321757500362202,Harmony,HE,0.5559969484738613,0.8982587777652253,0.8436429646844533,0.891677215989319,1,0.7973939767282147,1,14,15,13,9,13,0.8096815686860541,12,Pancreas_hs_mm,NA,NA,NA,0.44269366994233705,0.7604236716839337,0.633331670987295,12,0.5533670874279211,0.7005295896049171,0.6416645887341187,12
fastMNN O2O,0.0135353844499044,8.881784197001252e-16,0.8292829560549186,0.9553119935937596,0.257587191429419,fastMNN,O2O,0.7827255128391992,0.907406735978877,0.23233769982039568,0.904844921754455,4.527297792533111e-15,0.7068287175982317,21,10,17,16,25,22,0.6547629317770839,1,0.9395160218888752,0.9196940020327912,0.3858192071774813,fastMNN,O2O,0.861653987270612,0.9548201358378852,0.9337968619656252,0.7301790619517273,1,0.8701125117564624,1,6,9,8,20,11,0.8047989940931701,13,Pancreas_hs_mm,NA,NA,NA,0.4111435051056005,0.7799584325752462,0.632432461587388,13,0.5139293813820004,0.7249480407190578,0.6405405769842348,13
fastMNN HE,0.01447646239885602,6.661338147750939e-16,0.8218324944044971,0.9553322118536536,0.25018586137545473,fastMNN,HE,0.763850821202928,0.9074752543059011,0.21038360033018555,0.8976764377303753,3.3954733443998328e-15,0.6948465283923475,22,9,18,19,27,23,0.6556412179959145,1,0.940995535983161,0.9213463010779768,0.3767410325997041,fastMNN,HE,0.8662810391945986,0.9567945730580768,0.9372111698972468,0.6985522764770286,1,0.8647097646567378,1,4,7,6,22,12,0.7967644701509817,14,Pancreas_hs_mm,NA,NA,NA,0.4083654060064924,0.7789448175313514,0.6307130529214078,14,0.5104567575081154,0.7236810219141891,0.6383913161517596,14
Harmony O2O,0.01246910707572296,6.661338147750939e-16,0.8603665654230479,0.9580361980651771,0.3684887538474646,Harmony,O2O,0.861471444204749,0.9166388822581484,0.5612980241395952,0.9129670888189072,3.3954733443998328e-15,0.81309385985535,22,7,16,10,23,15,0.5806678906083107,1,0.8985546177082436,0.877125183348104,0.4310094426709139,Harmony,O2O,0.47130105283162294,0.9001564315055541,0.8458327275685339,0.8876140034432197,1,0.7762260538372326,1,13,13,23,10,15,0.7909731762444796,15,Pancreas_hs_mm,NA,NA,NA,0.43987212488228267,0.7574714268671144,0.6304317060731817,15,0.5498401561028532,0.696839283583893,0.638039632591477,15
Scanorama HE,0.01885755705401472,0.04527759741308301,0.827259236047787,0.8751117207059737,0.47738219680913385,Scanorama,HE,0.7775987042084076,0.6356133890748357,0.8843017901088668,0.8643042743740108,0.23079278022614252,0.7904545394415302,14,20,20,17,7,17,0.5940777063369751,0.9998876488883894,0.7742914950433145,0.8164418377911948,0.42944083550945966,Scanorama,HE,0.5419476283297998,0.7343251390329255,0.7204367657079984,0.8821492481926618,0.8667966750467163,0.7197146953158464,2,17,17,16,12,16,0.7480106329661199,16,Pancreas_hs_mm,NA,NA,NA,0.44877766160599847,0.7228279047138667,0.6132078074707195,16,0.5496526776542273,0.653562968670236,0.6119988522638325,16
Scanorama SH,0.01988135275860378,0.03014942702503797,0.8172149328357872,0.8699101225600617,0.4983958244486415,Scanorama,SH,0.7521528815570045,0.6179855217569108,0.946633191152235,0.8565057034262546,0.153680196894085,0.7933193244731012,15,21,21,20,3,16,0.5935439616441727,0.9997578364190176,0.7713872477910921,0.8115954255887033,0.4280932841774477,Scanorama,SH,0.5391357153624787,0.7304493707022457,0.7104221477905646,0.8774546131062191,0.7128911881062775,0.714365461740377,6,19,18,17,14,17,0.7459470068334666,17,Pancreas_hs_mm,NA,NA,NA,0.44711033192562644,0.7208755511240866,0.6113694634447026,17,0.5513505581507736,0.651154979800354,0.6112332111405219,17
Scanorama O2O,0.02465506946163658,0.01426058569425792,0.7982665169207488,0.8956250120130586,0.44242503347283024,Scanorama,O2O,0.7041497477683849,0.7051315577744746,0.7806105567514683,0.8201428155705834,0.0726902576124751,0.7525086694662277,16,19,25,21,15,18,0.5822735652327538,1,0.775654059296175,0.8143102870226093,0.4295479908974719,Scanorama,O2O,0.47976018574414664,0.7361435046613038,0.7160321328317395,0.8825225589766844,1,0.7036145955534686,1,18,16,22,11,20,0.7231722251185723,18,Pancreas_hs_mm,NA,NA,NA,0.43504644351250643,0.720357180489802,0.6062328856988838,18,0.5402429079670685,0.6504464756122526,0.6063650485541789,18
scVI SH,0.00104343419001032,0.09361362690266994,0.9149045808140472,0.928524592070241,0.5163872417866773,scVI,SH,0.9996357984768216,0.8166260284727265,1,1,0.4771752578390372,0.9540654567373872,12,17,1,2,1,2,0.5708899945020676,0.9996292690445174,0.686180510532063,0.6082830996942221,0.3553524777155246,scVI,SH,0.4197884228700899,0.6167395019655542,0.290297903985776,0.624038261446774,0.5604618839504009,0.4877160225670485,10,24,22,27,23,23,0.674255796235184,19,Pancreas_hs_mm,NA,NA,NA,0.4908946951527291,0.644067070297679,0.582798120239699,19,0.5902149622152439,0.5551765206109693,0.5691918972526792,19
scVI O2O,0.00150961235723276,0.10440045578787792,0.915048343135242,0.9335895191891896,0.45184031021471394,scVI,O2O,1,0.8337907268448906,0.8085384995417594,0.9964489756158544,0.5321587898831085,0.9096945505006262,11,15,3,1,13,7,0.5767605230212212,1,0.3188173555130263,0.467798129040957,0.38411061061023283,scVI,O2O,0.45071597210971626,0.12648699987852052,0,0.7242266078947791,1,0.325357394970754,1,30,27,24,21,27,0.5590922571827028,20,Pancreas_hs_mm,NA,NA,NA,0.48127764813685125,0.5494973236370875,0.522209453436993,20,0.5754969462240946,0.43687165454635934,0.49232177121745346,20
LIGER UINMF SH,0.01139112153224899,0.00379896345117458,0.7662256857034213,0.8646742221583001,0.4357289220741377,LIGER UINMF,SH,0.6229788301296563,0.6002414063940849,0.7607483029710567,0.9211784406577116,0.01936439623496317,0.7262867450381273,19,22,15,23,17,20,0.5747570815195232,0.9997229715562388,0.42295721334219666,0.6305471101483396,0.3280191365566239,LIGER UINMF,SH,0.4401612945384696,0.26546344640074476,0.3363042172525504,0.5288136422534548,0.6715554542661363,0.3926856501113049,9,22,26,25,24,24,0.5261260880820339,21,Pancreas_hs_mm,NA,NA,NA,0.41636378298385657,0.5912007026245844,0.5212659347682932,21,0.519504987867027,0.4890701353916708,0.5012440763818133,21
scVI HE,0.00119647381216696,0.11361298014273324,0.9122666971644556,0.9817416422991756,0.47744957352686257,scVI,HE,0.992953093056066,0.9969750431739646,0.8845016454258916,0.9988342495032392,0.5791176443770916,0.9683160077897904,10,2,2,3,6,1,0.5724492967128754,0.999738980572041,0.22403627199697185,0.48973231629640473,0.25957246866675915,scVI,HE,0.4280032532293791,0,0.04532476717102835,0.29035732449218726,0.6905357216041091,0.1909213362231487,8,29,30,26,28,28,0.5018792048498053,22,Pancreas_hs_mm,NA,NA,NA,0.49725347338907877,0.5091058668490105,0.5043649094650378,24,0.5931635967006652,0.3864475884182528,0.4691339917312177,23
unintegrated HE,0.11788986485858335,0,0.5231319616251222,0.8550809032411735,0.1811145638945233,unintegrated,HE,0.00713523600403274,0.5677302918739147,0.00550175804535677,0.10994432241079108,0,0.17257790208352383,24,24,28,28,29,28,0.5834018364548683,1,0.7463998280347915,0.8082012531575334,0.4495643935035633,unintegrated,HE,0.48570422701125776,0.6971032256442565,0.7034084356621203,0.9522562334917934,1,0.7096180304523569,1,20,21,21,2,19,0.4948019791048237,23,Pancreas_hs_mm,NA,NA,NA,0.3354434587238805,0.7175134622301512,0.5646854608276429,25,0.4193043234048506,0.64689182778768906,0.5558568260345537,25
unintegrated SH,0.11978754418355005,0,0.5203154492688306,0.8467777811117657,0.1820321714818265,unintegrated,SH,0,0.539591567751837,0.00822359967621822,0.09548910758081389,0,0.16082606875221728,24,26,29,30,28,29,0.5834525972604752,1,0.7474570842480491,0.8075524209116727,0.4495643935035633,unintegrated,SH,0.4859716488131835,0.6985141523983828,0.7020676898148179,0.9522562334917934,1,0.7097024311295443,1,21,20,20,2,18,0.4901518861786135,24,Pancreas_hs_mm,NA,NA,NA,0.33378258920919457,0.717605299184752,0.5640762151945291,23,0.4172282365114932,0.64700662398094,0.5550952689931612,22
LIGER O2O,0.04137381230308216,2.220446049250313e-16,0.6217849696536238,0.760143867747516,0.28466218756103723,LIGER,O2O,0.25705868946187543,0.2459950446875098,0.3126485567118848,0.6927909409515768,1.1318244481332777e-15,0.3771233079532117,23,29,27,27,24,27,0.5964942317422126,0.9997795040372424,0.47426201711338967,0.5979073663331973,0.46326879756665945,LIGER,O2O,0.5546785448419075,0.3339305968873205,0.26885750624775084,1,0.7385802867718928,0.5393666619942448,5,25,24,14,1,22,0.4744693203778315,25,Pancreas_hs_mm,NA,NA,NA,0.3415929674530519,0.6263423833585403,0.512442616996345,26,0.42699120931631485,0.5329831031888648,0.4905863456398448,26
unintegrated O2O,0.13232334578504837,0,0.5209230864153251,0.8536970632400653,0.17925977011494254,unintegrated,O2O,0.00153936283480907,0.5630405509049888,0,0,0,0.14114497843494947,24,25,30,29,30,30,0.5676604062318802,1,0.7546564803639664,0.8187109600465952,0.44734352837460567,unintegrated,O2O,0.40277406889428446,0.7081218713846845,0.7251256760702036,0.9445191246270086,1,0.6951351852440453,1,16,19,28,4,21,0.473539102520407,26,Pancreas_hs_mm,NA,NA,NA,0.33724065311107626,0.7176742750034094,0.5655008262464761,22,0.42155081638884534,0.6470928437542618,0.5568760328080953,24
LIGER SH,0.0258782365705119,0.00538312379471328,0.6896784223386705,0.7918617289388717,0.3773967365645987,LIGER,SH,0.4290571566279376,0.35348474939086216,0.5877212125939847,0.8108255705022865,0.02743931166551676,0.5452721722787678,18,28,26,25,21,25,0.5929348324502042,0.9997408096564294,0.46744967004363086,0.6168027815170939,0.29061181434599154,LIGER,SH,0.5359266562329149,0.32483940156627245,0.30790295998788514,0.39849302056870656,0.6927042815645903,0.39179050958894474,7,23,25,18,26,25,0.4531831746648739,27,Pancreas_hs_mm,NA,NA,NA,0.3780396496414732,0.5935079816026699,0.5073206488181913,28,0.4712037811031632,0.4919497745892301,0.48365137719480333,28
LIGER HE,0.02294965172590864,0.05072537386357023,0.6486888853513058,0.6875561096669371,0.42162538259439897,LIGER,HE,0.3252159576189775,0,0.718913861506519,0.8331335139570104,0.25856164485002275,0.4693158332706267,13,30,24,26,19,26,0.5904706832279377,0.9991565442405438,0.4926185250178477,0.5551474897523521,0.3079392349085037,LIGER,HE,0.5229448444323616,0.358427675069466,0.18049857013958187,0.4588587480908399,0,0.38018245943306234,13,27,23,19,25,26,0.41583580896808814,28,Pancreas_hs_mm,NA,NA,NA,0.36630908064042417,0.589066495429437,0.49996352951383183,29,0.44520500733463764,0.4865439832266603,0.47000839286985124,29
LIGER UINMF HE,0.02119334790146031,8.881784197001252e-16,0.7883020311534613,0.8571460066227462,0.4733134578785701,LIGER UINMF,HE,0.6789061313327611,0.5747287887564106,0.8722329459105941,0.8465118275398688,4.527297792533111e-15,0.7430949233849087,21,23,22,22,9,19,0.4912076410968438,0.9995892301666468,0.30122632369093216,0.5748787355624004,0.2726240064795778,LIGER UINMF,HE,0,0.103011462805056,0.22127118286142564,0.3358266182344985,0.5129918448621111,0.16502731597524503,11,26,29,30,27,29,0.3962543589391105,29,Pancreas_hs_mm,NA,NA,NA,0.4279909687112478,0.5279051873992802,0.48793949992406727,27,0.5349887108890595,0.40998417670743853,0.4599859903800869,27
LIGER UINMF O2O,0.02188612753529201,8.881784197001252e-16,0.7221221502537859,0.8174031389217176,0.43741998639178514,LIGER UINMF,O2O,0.5112487561101314,0.4400428751169303,0.7657644006188153,0.8412347091642202,4.527297792533111e-15,0.6395726852525243,21,27,23,24,16,24,0.5531048931462312,0.999836463521562,0.3012537827148777,0.5143441018857013,0.17622809957856653,LIGER UINMF,O2O,0.32609164648620137,0.10304810734877312,0.09618251897676627,0,0.8061113738277569,0.1313305682029352,4,28,28,29,29,30,0.3346274150227709,30,Pancreas_hs_mm,NA,NA,NA,0.39976628062051633,0.5089534681693878,0.4652785931498392,30,0.49970785077564517,0.38623271933134423,0.4316227719090646,30
scANVI SH,0.05022821603917947,0.21724797290831044,0.8820654810843771,0.9695618056003869,0.3205244195816539,scANVI,SH,0.7768201142979454,0.9884881650062532,0.523593513854085,0.7287709162471375,0.4427000796927014,0.7544181773513553,16,2,14,18,6,7,0.7216143310070038,1,0.9700550121075252,0.94528224691529406,0.9268751469550904,scANVI,SH,0.9640147858897448,0.9977300759460466,0.9947300075380816,0.9591435038697652,1,0.9789045933109096,1,2,2,3,6,2,0.8891100269270878,1,Hippocampus_hs_mu_ss,NA,NA,NA,0.4879255790427816,0.9127653473969828,0.7428294400553023,1,0.5555949805763993,0.8909566842462284,0.7568120027782967,1
scANVI HE,0.05022821603917947,0.21724797290831044,0.8820654810843771,0.9695618056003869,0.3193685847024441,scANVI,HE,0.7768201142979454,0.9884881650062532,0.5202606247319287,0.7287709162471375,0.4427000796927014,0.7535849550708162,16,2,14,18,7,8,0.7216143310070038,1,0.9700550121075252,0.94528224691529406,0.9268751469550904,scANVI,HE,0.9640147858897448,0.9977300759460466,0.9947300075380816,0.9591435038697652,1,0.9789045933109096,1,2,2,3,6,2,0.8887767380148722,2,Hippocampus_hs_mu_ss,NA,NA,NA,0.48769441206693964,0.9127653473969828,0.7427369732649655,2,0.5553060218565968,0.8909566842462284,0.7566964192903758,2
scANVI O2O,0.05165022603700468,0.21912201012767135,0.8764948417690079,0.9718108064023984,0.2988822899640897,scANVI,O2O,0.7434116499761492,1,0.46118769821371497,0.7170017671156794,0.4488553082999381,0.7304002788263859,15,1,15,19,12,12,0.728441134095192,1,0.9713262347130724,0.9472683568657548,0.9248881563456556,scANVI,O2O,1,1,1,0.9566025966646023,1,0.9891506491661506,1,1,1,1,7,1,0.8856505010302447,3,Hippocampus_hs_mu_ss,NA,NA,NA,0.4835920348600345,0.914384776403935,0.7420676797863748,3,0.5497095410431252,0.8929809705049188,0.7556723987202013,3
SeuratV4 RPCA SH,0.04055754116576016,0.23017173331458024,0.8663450452714775,0.94259502177644,0.2645274279574392,SeuratV4 RPCA,SH,0.6825408782452086,0.8504547924011118,0.3621242870511917,0.808809463768734,0.4851478491094004,0.6759823553665615,14,11,8,24,19,13,0.6938301771879196,1,0.9454856060207149,0.9159537991776018,0.9178966789667896,SeuratV4 RPCA,SH,0.8175598916828345,0.9538583845330408,0.9169091907894702,0.947662093794412,1,0.9089973901999394,1,4,4,8,8,4,0.8157913762665883,4,Hippocampus_hs_mu_ss,NA,NA,NA,0.4688393538971393,0.8946332522706051,0.7243156929212188,4,0.5285062590427791,0.8682915653382565,0.7323774428200656,4
SeuratV4 RPCA HE,0.04206679892082006,0.23286856390377733,0.866497517890622,0.9419467200517502,0.2596096676016171,SeuratV4 RPCA,HE,0.6834552932285458,0.8471363665143291,0.3479437580758968,0.7963182157294968,0.4940055220627463,0.6687134083870672,13,12,10,23,20,14,0.6950585395097733,1,0.9472995001207658,0.917107877820924,0.9130634774609016,SeuratV4 RPCA,HE,0.8240347937103082,0.9570973151743488,0.9199714511388318,0.9414815328637252,1,0.9106462732218036,1,3,3,7,10,3,0.813873127287909,5,Hippocampus_hs_mu_ss,NA,NA,NA,0.46859785367371726,0.8945058789824729,0.7241426688589706,5,0.5275301761162023,0.8681323487280912,0.7318914796833357,5
SeuratV4 RPCA O2O,0.0411158500251892,0.2340581960270343,0.8661633280198744,0.9395698705588356,0.25463615620235347,SeuratV4 RPCA,O2O,0.6814510761644873,0.8349701195557103,0.3336024690737354,0.8041886662792058,0.4979128391648346,0.6635530827682847,12,13,9,25,21,15,0.697074294090271,1,0.944922258886907,0.9145911517335028,0.9026830377444294,SeuratV4 RPCA,O2O,0.8346601712458701,0.9528524590529748,0.9132935089099308,0.9282073211270908,1,0.9072533650839664,1,5,5,6,11,5,0.8097732521576938,6,Hippocampus_hs_mu_ss,NA,NA,NA,0.4671086801666573,0.8918541484910222,0.7219559611612762,6,0.5253713012015632,0.8648176856137776,0.7290391318488918,6
SeuratV4 CCA O2O,0.07546131501744427,0.3217712255104827,0.8732557804548992,0.9497018275773432,0.2767844259722545,SeuratV4 CCA,O2O,0.7239862199272208,0.8868320029558736,0.39746775703005016,0.519931241857908,0.78600410156144,0.6320543054427631,4,8,16,20,18,21,0.7218015640974045,1,0.9216303156801466,0.8963166010557173,0.7562724014336918,SeuratV4 CCA,O2O,0.9650017226388437,0.9112618344702824,0.864803371546423,0.7409815542070173,1,0.8705121207156415,1,9,10,2,15,6,0.7751289946064901,7,Hippocampus_hs_mu_ss,NA,NA,NA,0.49939491490648474,0.8592041764533921,0.7152804718346291,7,0.5438008372554852,0.8240052205667401,0.7119234672422381,7
SeuratV4 CCA HE,0.07611656527170611,0.31632357871628075,0.8732066978185542,0.9506051066886022,0.27797996556627824,SeuratV4 CCA,HE,0.7236918595473222,0.89145556737293,0.4009151360456003,0.5145081168639714,0.7681114412431846,0.6326426699574559,6,6,17,21,17,20,0.7206746488809586,1,0.9174097676058528,0.8930326527802914,0.7174825174825175,SeuratV4 CCA,HE,0.9590615651706906,0.9037255276480928,0.8560896632983932,0.6913781513771461,1,0.8525637268735807,1,10,11,4,16,7,0.7645953041071307,8,Hippocampus_hs_mu_ss,NA,NA,NA,0.49884638281228433,0.849719917349924,0.7093705035348682,8,0.5444770838362851,0.812149896687405,0.705080771546957,9
SeuratV4 CCA SH,0.07622752166074424,0.3190690185546314,0.873203455677915,0.9510113339779058,0.28502455074005584,SeuratV4 CCA,SH,0.7236724156498199,0.8935349003461498,0.42122843660271664,0.5135897954093578,0.7771287700656216,0.638006387002011,5,5,18,22,13,19,0.719916507601738,1,0.9142151035904228,0.8917099189790708,0.6714484035168903,SeuratV4 CCA,SH,0.9550652764384464,0.898021062779957,0.8525798892499122,0.6325110327792296,1,0.8345443153118863,1,11,12,5,18,8,0.7559291439879361,9,Hippocampus_hs_mu_ss,NA,NA,NA,0.5009071761222506,0.8394579867376244,0.7040376624914748,9,0.5463667155141552,0.7993224834220305,0.6981401762588804,10
scVI O2O,0.01830123059042228,0.16222340118785594,0.9146843153590783,0.95053703710752,0.21770891908516343,scVI,O2O,0.972443111837632,0.8911071434040232,0.2271215269314547,0.9930119930602336,0.2619732432907093,0.7709209438083359,17,7,2,5,25,2,0.5781811028718948,1,0.930272694192816,0.8906884363489804,0.9150023223409196,scVI,O2O,0.2079543930101808,0.926693862490926,0.8498694623879413,0.943960872676374,1,0.7321196476413555,1,12,6,23,9,12,0.7476401661081477,10,Hippocampus_hs_mu_ss,NA,NA,NA,0.452690980666008,0.8628289111509222,0.6987737389569566,10,0.525307875535546,0.8285361389386527,0.7072448335774101,8
fastMNN HE,0.08121028784247596,0.14952427668978086,0.9192792432530362,0.9632257624571604,0.213881496181887,fastMNN,HE,1,0.95605621428714,0.2160850230244755,0.47235033973065327,0.22026328492389136,0.6611228942605671,19,3,21,1,26,16,0.640656110907251,1,0.7959923335509137,0.8798349819619425,0.9329268292682926,fastMNN,HE,0.5372705475338159,0.6869197904562272,0.8210706424675267,0.9668822234791876,1,0.7530358009841894,1,13,14,13,5,9,0.7162706382947406,11,Hippocampus_hs_mu_ss,NA,NA,NA,0.46542421328486805,0.8498820511376799,0.6960989159965552,11,0.5443991974336398,0.8123525639220999,0.7051712173267158,11
