task,integration_method,homology_method,NMI_cluster/label,ARI_cluster/label,cLISI,silhouette,type,acc_loss_avg,acc_loss_avg_scaled,cLISI_scaled,silhouette_scaled,NMI_scaled,ARI_scaled,bio_score
hs_mf_mm,scVI,higher expression,0.33092331879660464,0.18726961993142635,0.9444987958261964,0.5608408823609352,scVI higher expression,0.004700730428450872,0.9915531779645212,0,0.5478170418517122,0,0,0.8206333944642027
hs_mf,LIGER_UINMF,higher expression,0.6802448122912458,0.5041856137119088,1,0.5371303791834483,LIGER_UINMF higher expression,0.059853049440115824,0.8759151277470603,1,0.3104975443464464,0.45857724458045057,0.3606271906209336,0.8072172011750399
hs_mf,LIGER_UINMF,stronger homology,0.6729990227315936,0.4633678736933203,0.99974886433855,0.5403944684716478,LIGER_UINMF stronger homology,0.06299689069178022,0.8692669399474489,0.9945442699155549,0.3263825125348641,0.4362435553154353,0.2854959443183299,0.7975468660621685
hs_mf_mm_xl_dr,LIGER_UINMF,one2one only,0.45019209049964615,0.2989047327045188,0.9830639010931388,0.4614022899931684,LIGER_UINMF one2one only,0.13840587790635916,0.8339068922001003,0.8346681508689852,0.25527215814677495,0.4437702812427523,0.28659158988375355,0.7581406227671935
hs_mf_mm_xl,LIGER_UINMF,stronger homology,0.5357260984517038,0.3755133195369318,0.9934420341228856,0.5020271047470592,LIGER_UINMF stronger homology,0.11823849705742319,0.8170036169260058,0.8880592379938226,0.44349076398577736,0.38562688848359505,0.3277255869378767,0.7558480174108583
hs_mf_mm_xl,LIGER_UINMF,higher expression,0.5464509250283277,0.3928578872309349,0.9941240725313768,0.44450900309144104,LIGER_UINMF higher expression,0.1267420844151494,0.8029244329441013,0.9000969541093996,0.12665254191973185,0.41027117530295437,0.35705776699537595,0.7320434682716542
hs_mf_mm_xl_dr,LIGER_UINMF,higher expression,0.5013021702236538,0.3742987803820859,0.9850904466263064,0.4452456025642718,LIGER_UINMF higher expression,0.18631705046359384,0.7609409569612734,0.8550830179412087,0.11067892233180379,0.5503315503345986,0.42793678932001405,0.7059542795654001
hs_mf_mm_xl,LIGER_UINMF,one2one only,0.5109962055359749,0.3415202430749304,0.9906787866179296,0.4438477098916888,LIGER_UINMF one2one only,0.14232062188702502,0.7771314251217912,0.8392889801789896,0.12300981109860094,0.3288007412565956,0.2702383634404292,0.6997720348961638
hs_mf,LIGER_UINMF,one2one only,0.6064092503736206,0.3671935506216138,0.998832506963659,0.4733284441407033,LIGER_UINMF one2one only,0.10291986060997327,0.7848430201983612,0.9746371071118671,0,0.2309939725298058,0.10847250423085947,0.6935795953523155
hs_mf_mm,LIGER_UINMF,higher expression,0.633741346913219,0.4409253679724137,0.9983905715796746,0.4579362799292004,LIGER_UINMF higher expression,0.09191773969243294,0.7294104320799684,0.9710019188901661,0.09732894189330159,0.5632036357534842,0.3724694125585224,0.6837285411187485
